range	bloomHash	bloomSize	indexHash	indexSize
002411145-002411647	QmWsA6oVg115MLjDdtrQzENQ8FMMTQ7nHzvaY2VsFsjkpG	131114	QmTGJyshiGxJd8e42t8JWzA9DxgtpRzaySqBArFMrW5ocq	16585444
002411648-002412236	QmQ71bih9AL7ocqyA3M4a3wCa99J4fraeTc3kU73Axc67k	131114	Qmb6XYsG8zYy1mJqG9fEC3F23jQhkgAhTvvD55iRTtrqhK	16693324
002412237-002412991	QmRn4KK8jt8zoeKkbBYnkbod4eT2BW266dBzvN9X6xRjSo	131114	QmSgbaeu8YqD5JfcM1YcewRf88oWT3qvnzvrDCxsQfTC4h	16746536
002412992-002414067	QmUbht5hzfwBhUmcTAyQVBhNFJNbyPoMmBLe7WT4ecYNif	131114	QmfJjLP6G7f9uZD5ynuefh39X4sukGgu58RR5jwzd5rVVw	16782084
002414068-002414732	QmdwiTuCe2aVmK9gAcsqDe2vhyY5MpDSJRnxd5SoeMpByP	131114	QmeZbRQZGAMYBvR8918g6H3SaC9XjrgQf8y4HDp8nHpcgC	16681268
002414733-002416416	QmaFccBt7ZJcHagkobwth3nsLxnJKjdTVKSBvBQSuArshE	131114	QmcAFBboESoDQ4N5cxYpxAV2phacqoogq5kvGQi4ad7nwB	16896376
002416417-002423055	QmWKeTfsschYudbazTXGaJXFcX1rQDdw1Y3MvrL5tGda5e	4194470	QmTVzEiSsR7iXZXxcxFEWV9RSySHDiUZ3tFBGqvCLPHxy9	60224500
002423056-002424442	QmQi9PY3UsmekcJVyYPhCrLo7stmcjw9cg22uzxttRKBBK	5112002	QmY4DRwjXubi9RCE4Mzpk6QX5k5o1ytVwjVUrehDCBocSo	69479636
002424443-002426047	QmcBVQdvkrwiz2H2TmpWsyk6YRkRHrs1mRQhUsF2i9LwSz	5243078	Qmc3KBoQthTwPPjsjWSLu4cdv7Tg5UJk1M8y2rZifYnjvG	71582220
002426048-002427601	QmUUhAAsLv7paoK4oPFnG3TUYKb73qKnKUvAbnUtuobHBo	4587698	QmRd61GEAUcCBUW9rHErbF6E17nqCBkM6hFRey9tGVZJ6r	64289176
002427602-002429099	QmaV9MkVgpQyU761cRnoRzk7mjBy2yGgWVan5KJhGJMgir	5243078	QmcqNGTFaPM2zNcDmuDk3ZpJ7bFEWawEiRKzhqQG87BfcQ	71728776
002429100-002430891	QmZPJWxkWUeK1ADLWsRcKgzEfpyN7Y2nqVZgSdBecw4cDg	5243078	QmbmzbyVKaugr8Dh3nobP3HTHG4K2nSWP1QezaHhqBuuXG	71482240
002430892-002433232	QmZ7x6xxGPKUgFcm7ttPkXjaUgZzH1yXd5Yx4DLrv6eJVs	5243078	QmXifhaPQFoSVsJ6LQYrLRFGRYaqsLNUdeZvdiSC4w5Zz1	71436288
002433233-002436985	QmcCofSUFVdNiaqeaEZk5gZvvHfpnyHEsQhmLrHeXgz6d2	3408014	QmfDSSVGmbp7Pw65mv2kCnStqn4neno1xxq8CVYeZE92dm	51847076
002436986-002440527	QmakmS6YWW7FZACszY9mFBz5Mfjp3AXohU89EqGgw1u3cp	2097254	QmcGjPVtmU4TMMNxVjQfoH1YuFpZKqkfk1maRXYPjawse8	37564872
002440528-002452024	Qman26SAGw7JFkoX98THNtyCNBMFhcVuzBy6mbDmY4ihLi	4849850	QmV66gFgDLzpSNawsvrCKoK8SnKh78PWMEVM1i8PBnnevK	67452740
002452025-002461545	QmSpRUshNJ8mD4ZQggZWK9stzgTHyh8uDYXZAnKUA6oRbK	4980926	QmSUFcgsok1AZijJuJyQW4KMAVBHoXY5ZFDTv4U22JmeUt	68314124
